Probit,%
4.768,40.9
4.770,41
4.773,41.1
4.776,41.2
4.779,41.3
4.782,41.4
4.785,41.5
4.788,41.6
4.791,41.7
4.794,41.8
4.797,41.9
4.800,42
4.802,42.1
4.804,42.2
4.806,42.3
4.808,42.4
4.810,42.5
4.812,42.6
4.814,42.7
4.816,42.8
4.818,42.9
4.820,43
4.823,43.1
4.826,43.2
4.829,43.3
4.832,43.4
4.835,43.5
4.838,43.6
4.841,43.7
4.844,43.8
4.847,43.9
4.850,44
4.852,44.1
4.854,44.2
4.856,44.3
4.858,44.4
4.860,44.5
4.862,44.6
4.864,44.7
4.866,44.8
4.868,44.9
4.870,45
4.873,45.1
4.876,45.2
4.879,45.3
4.882,45.4
4.885,45.5
4.888,45.6
4.891,45.7
4.894,45.8
4.897,45.9
4.900,46
4.902,46.1
4.904,46.2
4.906,46.3
4.908,46.4
4.910,46.5
4.912,46.6
4.914,46.7
4.916,46.8
4.918,46.9
4.920,47
4.923,47.1
4.926,47.2
4.929,47.3
4.932,47.4
4.935,47.5
4.938,47.6
4.941,47.7
4.944,47.8
4.947,47.9
4.950,48
4.952,48.1
4.954,48.2
4.956,48.3
4.958,48.4
4.960,48.5
4.962,48.6
4.964,48.7
4.966,48.8
4.968,48.9
4.970,49
4.973,49.1
4.976,49.2
4.979,49.3
4.982,49.4
4.985,49.5
4.988,49.6
4.991,49.7
4.994,49.8
4.997,49.9
5.000,50
5.003,50.1
5.006,50.2
5.009,50.3
5.012,50.4
5.015,50.5
5.018,50.6
5.021,50.7
5.024,50.8
5.027,50.9
5.030,51
5.032,51.1
5.034,51.2
5.036,51.3
5.038,51.4
5.040,51.5
5.042,51.6
5.044,51.7
5.046,51.8
5.048,51.9
5.050,52
5.053,52.1
5.056,52.2
5.059,52.3
5.062,52.4
5.065,52.5
5.068,52.6
5.071,52.7
5.074,52.8
5.077,52.9
5.080,53
5.082,53.1
5.084,53.2
5.086,53.3
5.088,53.4
5.090,53.5
5.092,53.6
5.094,53.7
5.096,53.8
5.098,53.9
5.100,54
5.103,54.1
5.106,54.2
5.109,54.3
5.112,54.4
5.115,54.5
5.118,54.6
5.121,54.7
5.124,54.8
5.127,54.9
5.130,55
5.132,55.1
5.134,55.2
5.136,55.3
5.138,55.4
5.140,55.5
5.142,55.6
5.144,55.7
5.146,55.8
5.148,55.9
5.150,56
5.153,56.1
5.156,56.2
5.159,56.3
5.162,56.4
5.165,56.5
5.168,56.6
5.171,56.7
5.174,56.8
5.177,56.9
5.180,57
5.182,57.1
5.184,57.2
5.186,57.3
5.188,57.4
5.190,57.5
5.192,57.6
5.194,57.7
5.196,57.8
5.198,57.9
5.200,58
5.203,58.1
5.206,58.2
5.209,58.3
5.212,58.4
5.215,58.5
5.218,58.6
5.221,58.7
5.224,58.8
5.227,58.9
5.230,59
5.232,59.1
5.234,59.2
5.236,59.3
5.238,59.4
5.240,59.5
5.242,59.6
5.244,59.7
5.246,59.8
5.248,59.9
5.250,60
5.253,60.1
5.256,60.2
5.259,60.3
5.262,60.4
5.265,60.5
5.268,60.6
5.271,60.7
5.274,60.8
5.277,60.9
5.280,61
5.283,61.1
5.286,61.2
5.289,61.3
5.292,61.4
5.295,61.5
5.298,61.6
5.301,61.7
5.304,61.8
5.307,61.9
5.310,62
5.312,62.1
5.314,62.2
5.316,62.3
5.318,62.4
5.320,62.5
5.322,62.6
5.324,62.7
5.326,62.8
5.328,62.9
5.330,63
5.333,63.1
5.336,63.2
5.339,63.3
5.342,63.4
5.345,63.5
5.348,63.6
5.351,63.7
5.354,63.8
5.357,63.9
5.360,64
5.363,64.1
5.366,64.2
5.369,64.3
5.372,64.4
5.375,64.5
5.378,64.6
5.381,64.7
5.384,64.8
5.387,64.9
5.390,65
5.392,65.1
5.394,65.2
5.396,65.3
5.398,65.4
5.400,65.5
5.402,65.6
5.404,65.7
5.406,65.8
5.408,65.9
5.410,66
5.413,66.1
5.416,66.2
5.419,66.3
5.422,66.4
5.425,66.5
5.428,66.6
5.431,66.7
5.434,66.8
5.437,66.9
5.440,67
5.443,67.1
5.446,67.2
5.449,67.3
5.452,67.4
5.455,67.5
5.458,67.6
5.461,67.7
5.464,67.8
5.467,67.9
5.470,68
5.473,68.1
5.476,68.2
5.479,68.3
5.482,68.4
5.485,68.5
5.488,68.6
5.491,68.7
5.494,68.8
5.497,68.9
5.500,69
5.502,69.1
5.504,69.2
5.506,69.3
5.508,69.4
5.510,69.5
5.512,69.6
5.514,69.7
5.516,69.8
5.518,69.9
5.520,70
5.523,70.1
5.526,70.2
5.529,70.3
5.532,70.4
5.535,70.5
5.538,70.6
5.541,70.7
5.544,70.8
5.547,70.9
5.550,71
5.553,71.1
5.556,71.2
5.559,71.3
5.562,71.4
5.565,71.5
5.568,71.6
5.571,71.7
5.574,71.8
5.577,71.9
5.580,72
5.583,72.1
5.586,72.2
5.589,72.3
5.592,72.4
5.595,72.5
5.598,72.6
5.601,72.7
5.604,72.8
5.607,72.9
5.610,73
5.613,73.1
5.616,73.2
5.619,73.3
5.622,73.4
5.625,73.5
5.628,73.6
5.631,73.7
5.634,73.8
5.637,73.9
5.640,74
5.643,74.1
5.646,74.2
5.649,74.3
5.652,74.4
5.655,74.5
5.658,74.6
5.661,74.7
5.664,74.8
5.667,74.9
5.670,75
5.674,75.1
5.678,75.2
5.682,75.3
5.686,75.4
5.690,75.5
5.694,75.6
5.698,75.7
5.702,75.8
5.706,75.9
5.710,76
5.713,76.1
5.716,76.2
5.719,76.3
5.722,76.4
5.725,76.5
5.728,76.6
5.731,76.7
5.734,76.8
5.737,76.9
5.740,77
5.743,77.1
5.746,77.2
5.749,77.3
5.752,77.4
5.755,77.5
5.758,77.6
5.761,77.7
5.764,77.8
5.767,77.9
5.770,78
5.774,78.1
5.778,78.2
5.782,78.3
5.786,78.4
5.790,78.5
5.794,78.6
5.798,78.7
5.802,78.8
5.806,78.9
5.810,79
5.813,79.1
5.816,79.2
5.819,79.3
5.822,79.4
5.825,79.5
5.828,79.6
5.831,79.7
5.834,79.8
5.837,79.9
5.840,80
5.844,80.1
5.848,80.2
5.852,80.3
5.856,80.4
5.860,80.5
5.864,80.6
5.868,80.7
5.872,80.8
5.876,80.9
5.880,81
5.884,81.1
5.888,81.2
5.892,81.3
5.896,81.4
5.900,81.5
5.904,81.6
5.908,81.7
5.912,81.8
5.916,81.9
5.920,82
5.923,82.1
5.926,82.2
5.929,82.3
5.932,82.4
5.935,82.5
5.938,82.6
5.941,82.7
5.944,82.8
5.947,82.9
5.950,83
5.954,83.1
5.958,83.2
5.962,83.3
5.966,83.4
5.970,83.5
5.974,83.6
5.978,83.7
5.982,83.8
5.986,83.9
5.990,84
5.995,84.1
6.000,84.2
6.005,84.3
6.010,84.4
6.015,84.5
6.020,84.6
6.025,84.7
6.030,84.8
6.035,84.9
6.040,85
6.044,85.1
6.048,85.2
6.052,85.3
6.056,85.4
6.060,85.5
6.064,85.6
6.068,85.7
6.072,85.8
6.076,85.9
6.080,86
6.085,86.1
6.090,86.2
6.095,86.3
6.100,86.4
6.105,86.5
6.110,86.6
6.115,86.7
6.120,86.8
6.125,86.9
6.130,87
6.135,87.1
6.140,87.2
6.145,87.3
6.150,87.4
6.155,87.5
6.160,87.6
6.165,87.7
6.170,87.8
6.175,87.9
6.180,88
6.185,88.1
6.190,88.2
6.195,88.3
6.200,88.4
6.205,88.5
6.210,88.6
6.215,88.7
